rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency,report_code,ticker,corp_name
20230317000900,11011,2022,01244601,377300,CFS,연결재무제표,BS,재무상태표,유동자산,제 6 기,2022.12.31 현재,"2,259,815,836,785",제 5 기,2021.12.31 현재,"2,292,025,213,275",제 4 기,2020.12.31 현재,"644,304,442,688",1,KRW,11011,377300,카카오페이
20230317000900,11011,2022,01244601,377300,CFS,연결재무제표,BS,재무상태표,비유동자산,제 6 기,2022.12.31 현재,"303,383,126,941",제 5 기,2021.12.31 현재,"174,464,214,001",제 4 기,2020.12.31 현재,"60,028,501,007",3,KRW,11011,377300,카카오페이
20230317000900,11011,2022,01244601,377300,CFS,연결재무제표,BS,재무상태표,자산총계,제 6 기,2022.12.31 현재,"3,331,529,857,877",제 5 기,2021.12.31 현재,"3,432,708,944,352",제 4 기,2020.12.31 현재,"1,207,982,675,732",5,KRW,11011,377300,카카오페이
20230317000900,11011,2022,01244601,377300,CFS,연결재무제표,BS,재무상태표,유동부채,제 6 기,2022.12.31 현재,"873,830,451,555",제 5 기,2021.12.31 현재,"844,442,925,209",제 4 기,2020.12.31 현재,"548,984,059,587",7,KRW,11011,377300,카카오페이
20230317000900,11011,2022,01244601,377300,CFS,연결재무제표,BS,재무상태표,비유동부채,제 6 기,2022.12.31 현재,"98,849,258,848",제 5 기,2021.12.31 현재,"118,147,534,439",제 4 기,2020.12.31 현재,"24,197,638,394",9,KRW,11011,377300,카카오페이
20230317000900,11011,2022,01244601,377300,CFS,연결재무제표,BS,재무상태표,부채총계,제 6 기,2022.12.31 현재,"1,423,304,932,690",제 5 기,2021.12.31 현재,"1,637,071,183,230",제 4 기,2020.12.31 현재,"1,003,847,247,377",11,KRW,11011,377300,카카오페이
20230317000900,11011,2022,01244601,377300,CFS,연결재무제표,BS,재무상태표,자본금,제 6 기,2022.12.31 현재,"66,501,413,500",제 5 기,2021.12.31 현재,"65,941,540,000",제 4 기,2020.12.31 현재,"11,114,446,000",13,KRW,11011,377300,카카오페이
20230317000900,11011,2022,01244601,377300,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 6 기,2022.12.31 현재,"-172,770,406,330",제 5 기,2021.12.31 현재,"-228,051,887,861",제 4 기,2020.12.31 현재,"-204,549,853,495",17,KRW,11011,377300,카카오페이
20230317000900,11011,2022,01244601,377300,CFS,연결재무제표,BS,재무상태표,자본총계,제 6 기,2022.12.31 현재,"1,908,224,925,187",제 5 기,2021.12.31 현재,"1,795,637,761,122",제 4 기,2020.12.31 현재,"204,135,428,355",21,KRW,11011,377300,카카오페이
20230317000900,11011,2022,01244601,377300,CFS,연결재무제표,IS,손익계산서,영업이익,제 6 기,2022.01.01 ~ 2022.12.31,"-45,518,620,546",제 5 기,2021.01.01 ~ 2021.12.31,"-27,227,158,574",제 4 기,2020.01.01 ~ 2020.12.31,"-17,909,494,439",25,KRW,11011,377300,카카오페이
20230317000900,11011,2022,01244601,377300,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 6 기,2022.01.01 ~ 2022.12.31,"-7,665,297,754",제 5 기,2021.01.01 ~ 2021.12.31,"-25,951,154,634",제 4 기,2020.01.01 ~ 2020.12.31,"-25,767,899,116",27,KRW,11011,377300,카카오페이
20230317000900,11011,2022,01244601,377300,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 6 기,2022.01.01 ~ 2022.12.31,"26,795,044,775",제 5 기,2021.01.01 ~ 2021.12.31,"-33,863,310,446",제 4 기,2020.01.01 ~ 2020.12.31,"-25,050,768,158",29,KRW,11011,377300,카카오페이
20230317000900,11011,2022,01244601,377300,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 6 기,2022.01.01 ~ 2022.12.31,"26,795,044,775",제 5 기,2021.01.01 ~ 2021.12.31,"-33,863,310,446",제 4 기,2020.01.01 ~ 2020.12.31,"-25,050,768,158",61,KRW,11011,377300,카카오페이
20230317000900,11011,2022,01244601,377300,OFS,재무제표,BS,재무상태표,유동자산,제 6 기,2022.12.31 현재,"2,272,281,318,600",제 5 기,2021.12.31 현재,"2,303,835,464,032",제 4 기,2020.12.31 현재,"649,196,307,129",2,KRW,11011,377300,카카오페이
